stage_source,case_id,attempted_repetitions,completed_repetitions,status_counts_json,median_total_runtime_s,median_peak_rss_bytes,median_attacker_objective,median_defender_objective,unique_solution_signature_count,all_completed_replays_pass,configuration_json
14.2C,global-oracle-spatial-50m-9d6debde9b25,3,3,"{""completed"": 3}",28.436136700000134,76431360.0,1.340553884072545,0.8938345470153469,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_spatial"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_spatial_50m"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 50.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""spatial_resolution_m"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-switch-contour-6-da814cd9ca50,3,3,"{""completed"": 3}",27.842505900000106,202170368.0,0.9451630119996846,0.7814711306439309,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_switching"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_switch_contour_6"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 6, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""switching_contour_sample_count"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-switch-contour-9-78ec96fbf287,3,3,"{""completed"": 3}",41.27791380000053,203653120.0,0.950208719670526,0.7814935518630626,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_switching"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_switch_contour_9"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 9, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""switching_contour_sample_count"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,local-sse-canonical-anchor-4f8cae874bcf,3,3,"{""completed"": 3}",58.59568979999858,207331328.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2c_local_sse_baseline"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_canonical_anchor"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""baseline_anchor"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
14.2C,local-sse-defender-count-2-4fcf6bf31f73,3,3,"{""completed"": 3}",40.568966400000136,203505664.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2c_local_sse_defender"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_defender_count_2"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 2, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""uniform_fixed_domain"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""defender_action_count"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
14.2C,local-sse-defender-count-3-ba86435db2d4,3,3,"{""completed"": 3}",18.876268700001674,201150464.0,0.18906376619883056,0.015043572080443185,1,True,"{""experiment_type"": ""stage14_2c_local_sse_defender"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_defender_count_3"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""uniform_fixed_domain"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""defender_action_count"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
14.2C,local-sse-defender-count-5-0eef97e47408,3,3,"{""completed"": 3}",19.054832999998325,201113600.0,0.18906376619883056,0.015043572080443185,1,True,"{""experiment_type"": ""stage14_2c_local_sse_defender"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_defender_count_5"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 5, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""uniform_fixed_domain"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""defender_action_count"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
14.2C,local-sse-heading-10deg-99d5ff795b79,3,3,"{""completed"": 3}",11.785441899999569,128036864.0,0.952687238683972,0.7843318987084812,1,True,"{""experiment_type"": ""stage14_2c_local_sse_heading"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_heading_10deg"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 10.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""heading_spacing_deg"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
14.2C,local-sse-heading-15deg-fd857640a579,3,3,"{""completed"": 3}",4.5650158999997075,99729408.0,0.9697241814714522,0.7912859636040508,1,True,"{""experiment_type"": ""stage14_2c_local_sse_heading"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_heading_15deg"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 15.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""heading_spacing_deg"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
14.2C,local-sse-spatial-100m-48fa3d04001e,3,3,"{""completed"": 3}",7.857608700000128,66641920.0,1.4049827579238952,0.912150500664634,1,True,"{""experiment_type"": ""stage14_2c_local_sse_spatial"", ""memory_limit_bytes"": 4294967296, ""name"": ""local_sse_spatial_100m"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 100.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""spatial_resolution_m"", ""timeout_s"": 300.0, ""worker_mode"": ""local_sse""}"
