stage_source,experiment_type,case_id,repetition_id,status,failure_category,failure_message,declared_sweep_variable,declared_sweep_value,worker_wall_s,T_SSE_s,peak_rss_bytes,J_A,J_D,selected_defender_action_id,selected_attacker_candidate_id,trajectory_sha256,independent_replay_passed
14.2C,stage14_2c_local_sse_heading,local-sse-heading-10deg-99d5ff795b79,local-sse-heading-10deg-99d5ff795b79-r001,completed,,,heading_spacing_deg,10.0,12.24169289999918,11.785441899999569,128036864,0.952687238683972,0.7843318987084812,2,26,7d8a14d528f00c78409a36f48c3c78c923bd9cad109de3653592b85d6ce43e39,True
14.2C,stage14_2c_local_sse_heading,local-sse-heading-10deg-99d5ff795b79,local-sse-heading-10deg-99d5ff795b79-r002,completed,,,heading_spacing_deg,10.0,12.170426099999531,11.736499800001184,128081920,0.952687238683972,0.7843318987084812,2,26,7d8a14d528f00c78409a36f48c3c78c923bd9cad109de3653592b85d6ce43e39,True
14.2C,stage14_2c_local_sse_switching,local-sse-switch-contour-6-aee51a45bb4c,local-sse-switch-contour-6-aee51a45bb4c-r000,completed,,,switching_contour_sample_count,6,17.285000399999262,16.876671500000157,200622080,0.1918606116922587,0.014278006923464828,0,16,80ad8a18d7594049c34751159b336262840993d85b8842d0fce5ede245a92607,True
14.2C,stage14_2c_local_sse_switching,local-sse-switch-contour-6-aee51a45bb4c,local-sse-switch-contour-6-aee51a45bb4c-r001,completed,,,switching_contour_sample_count,6,17.25424759999987,16.864387500001612,199880704,0.1918606116922587,0.014278006923464828,0,16,80ad8a18d7594049c34751159b336262840993d85b8842d0fce5ede245a92607,True
14.2C,stage14_2c_local_sse_switching,local-sse-switch-contour-6-aee51a45bb4c,local-sse-switch-contour-6-aee51a45bb4c-r002,completed,,,switching_contour_sample_count,6,17.471023899999636,17.047139800000878,200318976,0.1918606116922587,0.014278006923464828,0,16,80ad8a18d7594049c34751159b336262840993d85b8842d0fce5ede245a92607,True
14.2C,stage14_2c_local_sse_switching,local-sse-switch-contour-9-7751ae19defd,local-sse-switch-contour-9-7751ae19defd-r000,completed,,,switching_contour_sample_count,9,44.37870010000006,43.96659870000076,204066816,0.950208719670526,0.7814935518630626,2,20,1b04efe2e841ddf3cd307acf09bdb1ca5a03cf3c3653aba49d1e7822bdf89d7a,True
14.2C,stage14_2c_local_sse_switching,local-sse-switch-contour-9-7751ae19defd,local-sse-switch-contour-9-7751ae19defd-r001,completed,,,switching_contour_sample_count,9,44.265245600001435,43.84018950000063,202756096,0.950208719670526,0.7814935518630626,2,20,1b04efe2e841ddf3cd307acf09bdb1ca5a03cf3c3653aba49d1e7822bdf89d7a,True
14.2C,stage14_2c_local_sse_switching,local-sse-switch-contour-9-7751ae19defd,local-sse-switch-contour-9-7751ae19defd-r002,completed,,,switching_contour_sample_count,9,44.818675199998324,44.387670699999944,202829824,0.950208719670526,0.7814935518630626,2,20,1b04efe2e841ddf3cd307acf09bdb1ca5a03cf3c3653aba49d1e7822bdf89d7a,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-2-4fcf6bf31f73,local-sse-defender-count-2-4fcf6bf31f73-r000,completed,,,defender_action_count,2,40.976541399999405,40.568966400000136,203804672,0.944086144839464,0.7814861193516704,1,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-2-4fcf6bf31f73,local-sse-defender-count-2-4fcf6bf31f73-r001,completed,,,defender_action_count,2,41.05560440000045,40.61359099999936,203493376,0.944086144839464,0.7814861193516704,1,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-2-4fcf6bf31f73,local-sse-defender-count-2-4fcf6bf31f73-r002,completed,,,defender_action_count,2,40.73168059999989,40.31558589999986,203505664,0.944086144839464,0.7814861193516704,1,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-3-ba86435db2d4,local-sse-defender-count-3-ba86435db2d4-r000,completed,,,defender_action_count,3,19.35509439999987,18.891465300001073,201150464,0.18906376619883056,0.015043572080443185,0,34,2e2628015162b6fb0e5fc629f702af1f77795943c50c1f77fd970c6c4dfa3ca2,True
