profile,algorithm_variant,source,requested_heading_spacing_deg,realized_heading_spacing_deg,N_psi,maximum_heading_quantization_error_deg,status_counts,successful_repetitions,T_SSE_median_s,T_Bellman_median_s,peak_rss_median_bytes,N_S_cart,N_S_active,N_E,J_A,J_D,deterministic_solution_identity,all_completed_replays_pass,all_completed_exactness_checks_pass
heading_4p0deg,global_oracle,new_stage14_4_isolated_process_rows,4.0,4.0,90,2.0,"{""completed"": 3}",3,161.0628058000002,17.048934700578684,251039744.0,4054050,1169434,39049248,4.86926915224981,0.9999081126619958,True,True,True
heading_3p0deg,local_sse,new_stage14_4_isolated_process_rows,3.0,3.0,120,1.5,"{""completed"": 3}",3,251.6229611000017,24.570541700319154,318271488.0,5405400,1537246,71071096,5.321958196654877,0.9999643734014034,True,True,True
heading_3p0deg,global_oracle,new_stage14_4_isolated_process_rows,3.0,3.0,120,1.5,"{""completed"": 3}",3,296.2788217999914,29.728252099695965,319610880.0,5405400,1537246,71071096,5.321958196654877,0.9999643734014034,True,True,True
heading_2p5deg,local_sse,new_stage14_4_isolated_process_rows,2.5,2.5,144,1.25,"{""completed"": 3}",3,327.3392365000036,34.93646969893598,369467392.0,6486480,1542009,85355093,4.700252845945528,0.999871519669282,True,True,True
heading_2p5deg,global_oracle,new_stage14_4_isolated_process_rows,2.5,2.5,144,1.25,"{""completed"": 3}",3,393.17338530000416,42.860118600408896,373055488.0,6486480,1542009,85355093,4.700252845945528,0.999871519669282,True,True,True
heading_2p0deg,local_sse,new_stage14_4_isolated_process_rows,2.0,2.0,180,1.0,"{""completed"": 3}",3,422.7254826999997,45.42148649919545,446767104.0,8108100,2185850,125067559,4.344826387245156,0.99974501217723,True,True,True
heading_2p0deg,global_oracle,new_stage14_4_isolated_process_rows,2.0,2.0,180,1.0,"{""completed"": 3}",3,497.4701017000043,55.13916199965752,450629632.0,8108100,2185850,125067559,4.344826387245156,0.99974501217723,True,True,True
heading_1p5deg,local_sse,new_stage14_4_isolated_process_rows,1.5,1.5,240,0.75,"{""completed"": 3}",3,570.531954799997,61.07236760055821,577409024.0,10810800,1720771,96990146,4.439300850254684,0.9997728583023344,True,True,True
heading_1p5deg,global_oracle,new_stage14_4_isolated_process_rows,1.5,1.5,240,0.75,"{""completed"": 3}",3,686.7501435000013,75.04436290093872,581267456.0,10810800,1720771,96990146,4.439300850254684,0.9997728583023344,True,True,True
heading_1p0deg,local_sse,new_stage14_4_isolated_process_rows,1.0,1.0,360,0.5,"{""completed"": 3}",3,673.0927128000039,85.22816139890347,822489088.0,16216200,2063462,130426835,4.405259248468236,0.9997724548155763,True,True,True
heading_1p0deg,global_oracle,new_stage14_4_isolated_process_rows,1.0,1.0,360,0.5,"{""completed"": 3}",3,817.2691237000108,105.45910540013574,829243392.0,16216200,2063462,130426835,4.405259248468236,0.9997724548155763,True,True,True
