candidate_id,x_map,y_map,z_map,powered_feasible,energy_feasible,virtual_feasible,goal_reachable,feasible,mission_time_s,cumulative_hazard,detection_probability,objective,status_category,infeasibility_reason
58,-2.5,-4.999999996793296,2.771674221491871,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
59,-2.5,-4.999999995787106,0.06544502617803238,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
60,-4.0,5.9999999949445275,0.07853403141361247,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
61,-4.0,5.9999999961519555,3.3260090657902204,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
62,-4.0,5.99999999460571,6.57348410016683,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
63,-4.0,5.999999996018472,9.82095913454344,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
64,-4.0,4.871212551564913,11.999999989032746,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
65,-4.0,1.6237375171882955,11.999999989032746,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
66,-4.0,-1.6237375171883075,11.999999989032744,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
67,-3.9999999999999982,-4.871212551564913,11.999999989032746,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
68,-3.9999999999999982,-5.999999996018474,9.820959134543447,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
69,-4.0,-5.999999994605712,6.573484100166851,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
70,-4.0,-5.999999996151955,3.3260090657902452,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
71,-4.0,-5.9999999949445275,0.07853403141363886,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
72,-5.5,6.999999994101948,0.09162303664921455,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
73,-5.5,6.999999995510615,3.8803439100885906,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
74,-5.5,6.999999993706661,7.669064783527968,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
75,-5.5,6.999999995354885,11.457785656967346,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
76,-5.5,5.683081310159065,13.99999998720487,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
77,-5.5,1.894360436719678,13.99999998720487,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
78,-5.5,-1.894360436719692,13.99999998720487,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
79,-5.499999999999998,-5.683081310159064,13.99999998720487,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
80,-5.499999999999998,-6.9999999953548855,11.457785656967355,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
81,-5.5,-6.999999993706664,7.669064783527993,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
82,-5.5,-6.999999995510614,3.8803439100886195,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
83,-5.5,-6.999999994101948,0.09162303664924534,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
84,-7.0,7.99999999325937,0.10471204188481663,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
85,-7.0,7.999999994869274,4.434678754386961,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
86,-7.0,7.999999992807613,8.764645466889107,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
87,-7.0,7.999999994691296,13.094612179391252,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
88,-7.0,6.494950068753218,15.999999985376995,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
89,-7.0,2.1649833562510605,15.999999985376995,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
90,-7.0,-2.1649833562510765,15.999999985376993,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
91,-6.999999999999998,-6.494950068753217,15.999999985376995,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
92,-6.999999999999998,-7.999999994691298,13.094612179391262,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
93,-7.0,-7.999999992807616,8.764645466889135,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
94,-7.0,-7.999999994869273,4.434678754386994,True,True,False,False,False,,,,,virtual_infeasible,no admissible virtual connection: outside lattice domain
95,-7.0,-7.99999999325937,0.10471204188485182,True,False,False,False,False,,,,,energy_infeasible,insufficient total energy
