defender_action_id,sensor_x_map,sensor_y_map,sensor_z_map,feasible,attacker_candidate_id,attacker_cooptimal_candidate_ids,attacker_objective,mission_time_s,cumulative_hazard,detection_probability,attacker_br_runtime_s,infeasibility_reason
0,5.0,0.0,0.0,True,34,25|34,0.2135615223650064,90.68077307322775,0.017245950439023307,0.017098090252410693,34.983058700017864,
1,7.0,0.0,0.0,True,25,25|34,0.32999210081664865,91.05702880179288,0.24840643144919342,0.21995715510086283,35.88566690002335,
2,7.5,0.0,0.0,True,25,25|34,1.0912385246088796,87.42862400860827,1.78729966869885,0.8325883732933018,38.13716939999722,
